NAME,EVENT,COURSE,TIME,DATE,MEET,STATUS
Kyle Cheung,100m Breaststroke,25m,1:11.89,6 Mar 2010,TAS SwimBC AAA Short Course Championships,
Kyle Cheung,50m Freestyle,25m,26.68,5 Mar 2010,TAS SwimBC AAA Short Course Championships,
Kyle Cheung,400m Medley,25m,5:36.11,8 Nov 2009,Fall Into Finals,
Kyle Cheung,50m Backstroke,25m,35.1,4 Oct 2009,Gator-Sfu Lmr Swim Meet,RELAY
Kyle Cheung,100m Butterfly,25m,1:14.64,4 Oct 2009,Gator-Sfu Lmr Swim Meet,
Kyle Cheung,100m Breaststroke,50m,1:14.23,19 Apr 2009,Mies Schootman Invitational Swim Meet,
Kyle Cheung,50m Breaststroke,50m,36.94,18 Apr 2009,Mies Schootman Invitational Swim Meet,
Kyle Cheung,400m Medley,50m,5:40.47,18 Apr 2009,Mies Schootman Invitational Swim Meet,
Kyle Cheung,200m Breaststroke,50m,2:43.10,17 Apr 2009,Mies Schootman Invitational Swim Meet,
Kyle Cheung,100m Freestyle,25m,59.45,1 Mar 2009,TAS Provincial Short Course Championships,
Kyle Cheung,200m Medley,25m,2:26.33,27 Feb 2009,TAS Provincial Short Course Championships,
Kyle Cheung,50m Breaststroke Laps,25m,34.08,27 Feb 2009,TAS Provincial Short Course Championships,RELAY
Kyle Cheung,100m Freestyle Laps,25m,1:00.54,26 Feb 2009,TAS Provincial Short Course Championships,RELAY
Kyle Cheung,50m Butterfly,25m,31.91,11 Jan 2009,Sfu-Gators Lmr,
Kyle Cheung,50m Breaststroke,25m,35.3,10 Jan 2009,Sfu-Gators Lmr,
Kyle Cheung,1500m Freestyle,25m,19:31.09,18 Oct 2008,Team Sungod LMR Regional Meet #1,
Kyle Cheung,800m Freestyle,25m,10:19.66,18 Oct 2008,Team Sungod LMR Regional Meet #1,SPLIT
Kyle Cheung,400m Freestyle,25m,5:01.89,18 Oct 2008,Team Sungod LMR Regional Meet #1,SPLIT
Kyle Cheung,200m Medley,50m,2:35.04,4 Jul 2008,TAS BC AAA Long Course Championships,
Kyle Cheung,200m Butterfly,50m,2:56.42,8 Jul 2007,Tas Bc Long Course Champs,
Kyle Cheung,200m Butterfly,25m,2:50.89,10 Feb 2007,Lmr Champs,
Kyle Cheung,200m Freestyle,25m,2:23.98,21 Jan 2007,Icebreaker Classic,
Kyle Cheung,100m Butterfly,50m,1:19.44,9 Jul 2006,Tas Bc Lc Championships,
Kyle Cheung,2000m Freestyle,25m,38:52.70,2 Apr 2005,Speedo Swim 4 Healthy Kid,
